,Unnamed: 0,Geographic Area,City,Median Income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic
21312,21312,OR,Trail,(X),84.6,13,94.2,0,2.3,0,3.4
21313,21313,OR,Tri-City,39160,84.2,24.1,91.8,0.1,3,0.6,4.5
21314,21314,OR,Troutdale,60340,91.3,14.5,83.6,2.1,1,4.6,10.6
21315,21315,OR,Tualatin,66384,92.5,11.7,80.4,1.2,0.7,3.5,17.3
21316,21316,OR,Tumalo,125625,93.1,5.2,95.7,0.2,0.8,0.2,3.3
21317,21317,OR,Turner,57850,90.4,12.6,93.2,0.6,1.7,0.5,7.3
21318,21318,OR,Tutuilla,58750,83.6,14.3,63,0.2,30.8,0,6.2
21319,21319,OR,Tygh Valley,52206,95,17.2,90.8,0,4.9,0,1.5
21320,21320,OR,Ukiah,29250,86.2,30.8,90.3,0,2.2,3.2,4.3
21321,21321,OR,Umapine,34331,76.2,3,91.7,0,1.9,1,14.3
21322,21322,OR,Umatilla,43991,78,18.1,70.1,2.3,1.5,0.6,43.1
21323,21323,OR,Union,41908,86.7,17.3,95.6,0.1,1.1,0.1,2.3
21324,21324,OR,Unity,41250,91.7,26,83.1,0,4.2,12.7,8.5
21325,21325,OR,Vale,34950,82.3,23.6,86.7,0.3,1.3,0.4,23.4
21326,21326,OR,Veneta,41558,83.5,25.2,91.8,0.4,1.4,0.8,5.5
21327,21327,OR,Vernonia,50268,87.3,18.3,94.1,0.3,1.3,0.5,4.2
21328,21328,OR,Waldport,42955,91.5,13.8,91.2,0.8,1.1,1,3.3
21329,21329,OR,Wallowa,24688,90.6,29.9,95.9,0.5,0.4,0,2
21330,21330,OR,Wallowa Lake,-,100,100,96.8,0,1.6,0,1.6
